,name,title,content,date
27,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,아이가 좋아합니다,아기가 엄청 잘 먹어요,2023-06-19
28,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,맛있어서 아이들이 좋아해요,1년정도 정기배송중인데 아이들이잘먹어서 좋아요^^,2023-06-15
29,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,저희아가한테딱,응가를 4~5일 안하던 저희아기 ㅋㅋ2틀에 한번 1일1똥 ㅎㅎㅎ계속 먹일꺼에요,2023-06-11
30,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,드시모네 키즈,드시모네 키즈 블루베리향 맛도 좋고 아이들이 잘 먹어요,2023-06-08
31,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,키즈 스텝1,키즈 스텝1 블루베리향 어이들 꾸준히 먹으니 배변이 항상 좋네요,2023-06-08
32,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,블루베리향,키즈 블루베리향 아이들이 꾸준히 먹고 있어서 배변도 좋아요,2023-06-08
33,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,키즈 블루베리향,키즈 블루베리향 아이들이 잘 먹고 또박배송으로 받아서 편해요,2023-06-08
34,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,***아이,***아이에게 잘맞는다고하여 몇년째 먹고있어요,2023-06-01
35,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,*정 또박 10 개월째,아기는 ** 걸려서 **제 먹으면 유산균 먹이지말라고해서 쉬었다가 가서 남은게 아직 많은게 단점입니다하지만 유통기한이 넉넉해서끝나고도 꾸준히 먹일려구요먹으면 확실히 화장실도 잘가요!!,2023-05-30
36,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,유통기간이 너무 오래전 제조로 배송됨,또박배송이라 최신날짜로 배송되는걸로 알고 1년 신청했는데 유통기한이 얼마남지 않는게 계속배송이 되네요 신경좀 써주시길 바랍니다.유산균이 최신이어야 건강한 유산균을 섭취해야 **있는데 그냥 간식먹이는 것과똑같은 **...하~~~ㅡㅡ,2023-05-25
37,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,아이가 잘 먹어요,아침에 일어나면 아이가 잘 챙겨먹습니다. 변도 잘 보고요.,2023-05-25
38,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,잘먹고있어요,"아이가 **도 자주 발생하고 자** **가있어서(장이문제일수도있다는..)유산균이 조금이라도 도움이 될까하여가장좋은 유산균 찾다 드시모네를 선택했어요.다른것도 있었는데 12개월 또박배송을 하니 가격도 많이 다운되고 좋게요..매달 가격비교하느라 시간때우느니..블루베리맛 아주 좋아합니다.다른 오메가3, 멀티도 먹이고싶은데 가격이 후덜덜하여 고민중이네요ㅠ사은품 먹여봤는데 멋있게 잘먹긴하더라고요.",2023-05-17
39,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,터진 아이스팩 포장,터져있는 아이스팩이 들어있어서 그런지비닐꺼내자마자 상자도 물이 흥건하고 비닐에서도 물이 뚝뚝흘러서 무슨 일인가 했네용한 아이스팩만 구멍나서 녹으면서 물이 셌나봐용,2023-05-11
40,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,항상 아이들 먹여요,첫째 ***로 먹이기 시작해서 꾸준히 먹이고 있어요 먹으면 속도 편하고 화장실도 잘가요. 앞으로도 계속 먹일 예정이에요.,2023-05-08
41,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,너무 좋아요,"매일 아침 유산균 먹고 화장실 편하게 가는것, 물 곧 잘 마시는것 만족스럽습니다.",2023-05-07
42,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,항상 먹여서 또박배송 시켜요,아침 공복에 항상 먹이는 드시모네! 덕분에 ** 걸려도 ** 없이 잘 넘어가는거 같아요~,2023-05-04
43,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,늘 먹는 유산균,**가 심해서 먹여봤눈데 굿~~ 주변에서 추천 많이 하더라구요~ **에 최적화!!,2023-05-03
44,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,입맛이 예민한 아이들에게 추천해요,우선 처음에 사과맛먹였다가 거부해서 블루베리 도전했는데 이건 새콤달콤하다고 정말 입맛예민한 아이인데 좋아하더라구요아침에 물한잔마시고 공복인상태에서 늘 먹이고있어요또박배송하니 저렴하고 무엇보다 항상 문앞에 아이스팩과 배송이 알아서오니 주문신경쓰지않아도 되서 좋아요!마스크 잘쓸게요,2023-04-27
45,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,매일 함께하는 건강템,저희 아이들의 아침을 책임지는 드시모네매일 잘 챙겨먹이고 있어요,2023-04-27
46,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,항상 잘 먹어요,드시모네만큼 **좋은거 없는것같아요,2023-04-26
47,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,항상 믿고 먹는 드시모네,아이가 잘먹구요 황금변을 너무 잘봅니다.그래서 다른 유산균으로 못바꿔요,2023-04-26
48,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,아이가 잘 먹어요,베이비에서 키즈로 바꾼후 계속 드시모네 먹이고 있어요.아이가 너무 잘 먹고 ** 한번 없이 꾸준히 잘 먹고 있어요.또박.배송으로 할인도 받아서 *국보다 훨씬 저렴하네요.,2023-04-25
49,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,드시모네 좋아요,또박배송으로 가격도저렴하고애들이좋아해요 굳굳,2023-04-24
50,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,항상 믿고먹는 유산균이에요,항상 드시모네만 먹는데 가격은 비싸긴하지만ㅠㅠ그래도 좋은것같아요 ㅎㅎ 애기들도너무잘먹어요,2023-04-24
51,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,*시 드시모네 에요,애기가 너무잘먹구매일변도잘봐요 ㅎㅎ,2023-04-24
52,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,아기가잘먹어요,아기가 매일아침 잘먹어요,2023-04-13
53,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,항상 잘 먹고 잇어요,또박배송으로 수개월째 아이들 먹이고 있어요~ 좋아요,2023-03-31
54,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,잘먹어요,잘먹고 있어요~~~,2023-03-28
55,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,또박배송,잘먹고 있어요~~~,2023-03-28
56,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,잘억어요,다른맛보다 블루베리가 좋대요,2023-03-28
57,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,잘먹어요,맛있는지 잘먹어서 계속 먹이고있어요,2023-03-28
58,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,좋아욤,아기에게 정말 좋은거 같아요!,2023-03-18
59,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,좋아요+!,매일 먹는데 아기에게 좋은거 같아요,2023-03-18
60,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,아기에게 정말 좋네요^^,매일 먹는데 아기 건강에 정말 좋은거 같아요!,2023-03-18
61,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,매달 열심히 먹고 있어오,다른맛 시키면 잘 안먹어서 이것만 먹네요,2023-03-18
62,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,항상먹어요,또박배송으로 먹다보니 좋네요!,2023-03-08
63,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,아이가 잘 먹어요,미각 예민한 아이라 이제 다른건 안먹으려고 해요^^;,2023-03-08
64,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,좋아요,항상 잘먹이고있슺니다 좋아요,2023-03-06
65,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,아이가 좋아해요,이제 혼자서도 잘 먹어요아이 건강에 도움이 되길 바래요,2023-03-06
66,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,잘 먹고 있어요,아이들이 좋아해서 꾸준히 잘 먹이고 있어요~,2023-03-05
67,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,꾸준히 먹이고있어요!,제품 아이가 좋아하고 잘 먹어서꾸준히 이용중입니다~!,2023-03-05
68,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,블루베리향이 좋은가봐요,블루베리로 바꾸고 더 잘먹네요근데 **는 도통 좋아지질 않네요ㅠ,2023-02-16
69,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,늘 잘먹고있어요,유산균은 정말 중요한거같아요아이들 ****가 없네요,2023-02-16
70,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,늘 먹는 유산균,아이 *부때문에 몇년째 먹고 있어요^^,2023-02-14
71,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,늘 먹는 유산균,아이 *부 때문에 또박배송으로 몇년째 먹고 있어요^^,2023-02-14
72,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,늘 먹는 유산균,아이 *부 때문에 또박배송으로 몇년째 먹고 있어요^^,2023-02-14
73,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,늘 먹는 유산균,아이 *부때문에 또박배송 몇년째 먹고 있어요^^,2023-02-14
74,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,늘 먹는 유산균,아이 *부때문에 또박배송 몇년째 먹고 있어요^^,2023-02-14
75,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,늘 먹는 유산균,아이가 *부가 안좋아 또박배송으로몇년째 먹고 있어요^^,2023-02-14
76,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,좋아요,아이가 아침마다 스스로 챙겨서 먹어요~~ 변도 좋습니다~~,2023-02-13
77,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,아이가 좋아해요,아이가 너무너무 좋아해요,2023-02-12
78,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,몇개월째 제조번호가 같네요,또박배송 다시 시작한지 8회차인데거의 처음부터 지금까지 제조번호와 유통기한이 같아요기분이 안좋네요,2023-02-10
79,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,키즈 블루베리향,아이들 너무 잘먹고 배변도 좋아요~,2023-02-10
80,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,항상 잘먹이고있오요,*정또박해서 잘먹이고 있어요 거의 이제 1년 다되가네용,2023-02-06
81,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,드시모네최고,태어나서 부터 아이 유산균은 드시모네 입니다~~,2023-02-05
82,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,잘먹어요,블루베리맛을 잘 먹어서 계속 먹이는중이에요~^^,2023-02-02
83,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,아이가 잘먹어요~^^,아이가 잘먹어요~~^^,2023-02-02
84,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,몇달째 **중,동글동글한 변을 본적은 있어도 아이가 이거 먹고 힘들게 변을 본적이 단 한번도 없네요.아이가ㅜ둘이라ㅜ가격이ㅜ만만치 않지만 정기배송받고 그나마 할인받아 받을수 있어서 좋다고해야하나..;; *튼 가격만 좀더 저렴했으면 하는 아쉬움,2023-02-01
85,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,아이가 좋아해요,잘 먹고 있습니다^^,2023-02-01
86,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,굳 좋아요,항상 구매하고 잇ㅆ어요,2023-01-29
87,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,또박배송,아이들이 이 맛을 너무 좋아해서 다른건 안 먹으려해요ㅎ,2023-01-26
88,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,잘 먹고있어요.,또박배송으로 계속 잘 먹고있어요.,2023-01-26
89,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,장이 편해요,아이 장이 편해서 끊을수가 없어요,2023-01-22
90,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,아이가 좋아해요,정기배송 받으며 먹이고 있어요 굿,2023-01-20
91,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,잘받았어요,또박배송으로 잘받아 먹고있어요,2023-01-18
92,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,또박배송 유통기한 신경좀 써주세요,또박배송을 아기가 작년 5월부터 신청해서 유산균을 먹고있는데 변이 잘 안나오고해서 고객센터에 문의하니 보장균수가 많으면 안나올수 있다고 해서 반씩 먹이라고해서 반씩먹여도 안나오네요 그래서 4달째 쌓여가고있는데 이번에 유통기한 긴걸로 보내달라고하니 대량생산으로 최신걸 보내드린다고하셨는데 제조한지 1년이 다된 제품을 3달째 보내준다는게 말이되나요?아직 한통은 안온상태지만 또같은 23.8.24까지 인제품을 보내준다고하네요 제조일오 부터 1년6개월이 유통 기한이라고 합니다.너무하신거 아닌가요?1년배송을 신청해서 해지시 불이익이 있으니 해지도못하고 **도없고 햐~구매하실때 생각 잘하시고 신청하세요...,2023-01-18
93,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,밀린후기 계속들어갑니다^^,장 걱정없습니다 5살된 아기 얼집에 ** 걸린적이있는데 ** 비스므리한거 한번하고 그냥지나갔습니다 그만큼 드시모네 꾸준히 먹어온 덕분인것같아요 저는 믿어요 드시모네를요^^,2023-01-18
94,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,또박배송으로 편리해지고 장걱정없음,드시모네는 사랑입니다 1년넘었습니다 최고,2023-01-18
95,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,우리아이들 장걱정 안해요^^,4살 2살 한번도 **인적이없었네요^^아이들이 잘먹고 정말 굿 선택입니다♡ 드시모네 추천으로 먹다 1년 동안먹어본 후기입니다,2023-01-18
96,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,정기구매중…,"이만한  유산균 없는거 같아요~ 다른제품보다 비싸지만, 그만한 가치 있는거 같아요~ 또박케어로 할인, 카드로 또 할인^^ 저는 좋아요~",2023-01-16
97,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,좋습니다,저렴한금액으로잘먹이고있습니다,2023-01-16
98,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,아이가 거부하지 않고 잘먹어요,색 모양 향에 예민한 아이라 먹던거 바뀌면 잘 안먹는데 이건 잘 먹어요^^ 앞으로도 쭉 먹일 생각입니다.,2023-01-11
99,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,항상주문하는겁니다,만족스러워요 앞으로 계속 구매 예정이에요,2023-01-11
100,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,**가 덜해요,**가 진짜 덜한거같아요 ^^,2023-01-10
101,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,잘 먹고 있습니다.,몸에 잘 맞는 듯 하네요,2023-01-09
102,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,좋습니다.,아이가 잘 먹습니다.,2023-01-09
103,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,아이가 잘 먹습니다.,변이 부드럽게 나와서 좋지만 아이가 매일 변을 보지는 않아서 다음번엔 프리미엄으로 구매하려고 합니다.,2023-01-09
104,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,하루하포로 채우는 우리아이 건강,엄마가 손 쉽게 챙겨줄수 있고 아기도 좋아하니 굿 !,2023-01-08
105,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,간편하게 챙기는 아이건강,유산균은 필수잖아요. 그 선택으로 드시모네가 최고.,2023-01-08
106,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,아이가 좋아하니 끊을수 없어요,드시모네 드시모네 엄마가 아이한테 줄수 있는 최고의 유산균,2023-01-08
107,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,꾸준하게 먹이니까 좋은거 같아요,매일 한포 먹는게 루틴이에요,2023-01-08
108,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,굿굿굿,잘먹고 있습니다. 굿!,2023-01-07
109,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,잘먹어요!,아이가 잘먹어요!!,2023-01-07
110,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,굿굿굿,항상 잘먹고 있어요,2023-01-07
111,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,잘 먹고있어요,너무 잘먹고 있어요,2023-01-07
112,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,아이가 잘먹어요.,항상 잘먹고 있습니다.,2023-01-07
113,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,항상 잘먹고있어요.,아이가 질려하지않고 항상 잘먹어요!,2023-01-07
114,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,잘먹고있습니다,아이가잘먹어요ㅎㅎㅎ,2023-01-04
115,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,이것도 먹여보려고 샀습니다^^,아기가 흰우유에 타먹이니 잘먹어요~,2023-01-03
116,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,드시모네 또박배송,또박배송 너무 좋아요 2개씩 배송하면 할인율이 좀 더 컸음 좋겠네요^^,2023-01-03
117,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,6개월째 먹고있는아이.,장이 안좋아서 임파선이 자주 붓는아이 이젠 아프다는 소릴 안해요,2023-01-02
118,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,아이가,맛있어서 잘 챙겨먹어요,2023-01-01
119,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,아침의,시작을 함께하는 드시모네 좋아요,2023-01-01
120,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,아이가,거부감없이 맛있게 잘 먹어요,2023-01-01
121,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,매일 아침,아이의 기상은 드시모네와 함께합니다,2023-01-01
122,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,아이 유산균,보장균수 많고 아이가가 잘먹고 또박 배송이라 떨어지기전에 알아서 배송되니 편하게 이용하고 있습니다,2023-01-01
123,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,좋은유산균,드시모네는 태어나서부터 먹이고있어요덕분에 **나 **은 지금까지도 없었던거같아요.가격은 있지만 늘 믿고 먹고있어요.감사합니다.,2022-12-31
124,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,키즈 블루베리향,아이들이 잘 먹고 배변도 좋네요~,2022-12-30
125,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,키즈 블루베리향,아이들 잘 먹어서 좋고 배변도 좋네요~,2022-12-30
126,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,새벽배송,블루베리맛 아이들이 너무 좋아해요^^매일 아침 ** 1포!!,2022-12-28
127,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,잘 먹고 있어요~,여러가지 맛 중에서 블루베리가 제일 맛있어요~,2022-12-28
128,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,좋아요,아이가 잘 먹어요 변도 이쁘게 잘 보내요,2022-12-27
129,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,드시모네 짱!!,울 딸이 넘 좋아하고 변도 잘 봐요,2022-12-20
130,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,이것이 정답이네~,화장실 못가는 우리딸~  꾸준히 관리했더니 습관이 잘~  들었네요~,2022-12-17
131,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,아이가 잘먹어요,애기때부터 9살인지금까지 너무 잘 맞아서 계속먹어요좋아요,2022-12-15
132,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,지속해서 먹는 유산균,아기때부터 계속 먹어요,2022-12-15
133,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,아기때부터,지금까지 드시모네 먹어요다른걸로 바꾸면 바로 변이 달라져서바꿀수가없어요,2022-12-15
134,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,아기때부터 지금까지,유산균 잘맞아서 안바꾸고 계속**해요,2022-12-15
135,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,늘 먹는 드시모네,애들꺼 어른꺼 늘 드시모네먹어요,2022-12-13
136,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,꾸준히먹고있어요,블루베리를 제일좋아해요,2022-12-10
137,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,또박배송 좋아요,두아이의 장건강 책임지고있는 드시모네좋습니다.,2022-12-08
138,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,만족해요,"첫째, 둘째 자녀 모두 영아때부터 먹고 있어요장 건강에 좋고 화장실도 주기적으로 잘 가서 만족해요",2022-12-07
139,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,아주 좋아요,맛있고 잘 먹어요 그리고 황금변 입니다^^,2022-12-04
140,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,아이가좋아해요,*정꼬박과 또박배송으로 편리하게 이용하고 있어요.맛도 좋고 늘 황금변 봅니다^^,2022-12-04
141,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,항상먹는유산균,"금액은비싸지만,좋다고 생각하고 열심히먹고 있어요.블베 맛을 좋아하네요.",2022-12-03
142,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,좋습니다,또박배송으로 저렴하게 잘먹이고있습니다,2022-12-03
143,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,만족합니다,배변활동에 도움을 주고아연도 들어있어서 믿고 구매하고 있습니다,2022-12-02
144,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,진짜 좋아요,지금 반년넘게 꾸준히 먹이고 있는데 먹기 전에는 한번씩 변이 딱딱해서 힘들어 하거나 토끼통으로 싼적도 많았는데 계속 먹고나서는  변ㅂ ㅣ한번없이 잘 자라주고 있네요^^,2022-12-01
145,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,좋아요,맛있다며 혼자서도 잘 먹어요~,2022-12-01
146,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,좋아요,아이가 혼자 잘 챙겨먹어요~,2022-12-01
147,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,좋습니다,좋습니다아주좋습니다,2022-11-30
148,[12개월 매월또박] 드시모네 키즈 스텝1 블루베리향 ,아이가 잘먹어요,장이 예민한 아이인데 유산균이 장을 더 튼튼하게 해주리라 생각해서 먹여요,2022-11-30
